id,serial,quality,hardiness,fortitude,dexterity,endurance,intellect,cleverness,dependability,courage,fierceness,power,armor,sa1,sa2,ranged,used,physique,prowess,mental,psychology,aggression,kinetic.special,kinetic.effective,kinetic,energy.special,energy.effective,energy,blast.special,blast.effective,blast,heat.special,heat.effective,heat,cold.special,cold.effective,cold,electricity.special,electricity.effective,electricity,acid.special,acid.effective,acid,stun.special,stun.effective,stun
cb01ab3f-49e4-44d3-ad7f-d711a9277c4e,52532qhg,3,57,3,52,253,56,36,574,259,76,46,0,"",stunning,false,d7eno4sq,283ba727-172a-4fec-8712-138c2a0a6f14,7d1b1e83-5680-497c-97d4-9bf5e494ee71,4c6ed69d-c1c6-4c96-8863-c097cdf5634d,e9bbaa82-063d-4758-850e-757a527e07db,92b7800b-89d5-4d11-bb56-a6355c51471e,20,0,20,0,0,0,10,0,10,0,0,0,-99,0,-99,-99,0,-99,-99,0,-99,-99,0,-99
a21d12de-bf56-474c-89ae-29c19589d2a0,6macouvi,4,447,226,368,336,298,128,710,511,172,282,0,knockdown,open_wounds,false,d7qrquna,3c1fb08b-13ea-4bb2-9e84-8d8e7a6c05ca,73151b3d-df5e-4a29-9fa8-7734390cb8fe,12b2817b-84dd-4f76-9e84-8fa3a303ed4a,820da9f0-e6ea-4e2e-8424-de9516771df2,d32f1b7a-84c6-4c5b-88bd-7a03719ff9ba,43,0,43,-1,0,-1,0,20,20,91,0,91,66,0,66,45,0,45,16,0,16,-5,0,-5
6465cc16-08b3-408c-bbbb-1e8280fbaa38,lmho8b59,3,560,435,391,301,248,151,761,510,23,125,0,"",intimidation,false,d8i9lk5v,e191f0b8-7393-485e-9e3d-ee156b50ced7,4d6c53d3-fb55-49db-aae6-36f9991a53ce,1ea31b16-3232-4085-9cab-d7bdfee0fb31,602d4953-a06b-4a5d-a556-331bc9b37199,f9963890-b9aa-41ed-8699-b685fff988d1,59,0,59,-62,0,-62,0,40,40,-34,0,-34,-23,0,-23,-88,0,-88,-1,0,-1,-99,0,-99
6c5f52e6-bca4-4d99-a3c9-fbff1894ef51,l6unkieo,4,487,460,217,321,16,13,760,511,104,345,0,stunning,intimidation,true,d9fabm4h,aecd280d-ec8d-424c-98cd-27394757823a,130954ac-9ae2-44dc-9df0-0f3d9e9ea9fc,be1e2950-a6c1-4f01-a576-7608e72497d5,ee64f5cc-64d7-48e9-a914-9bd2c908e33e,156988a7-c33c-41bd-b32b-0ec75cda1632,51,0,51,-42,0,-42,-21,0,-21,-4,0,-4,-2,0,-2,-49,0,-49,-21,0,-21,-99,0,-99
6c1848cd-0852-4031-a2d1-3f5c1572b8e7,eugjrslp,2,257,41,272,254,230,98,272,254,9,149,0,stunning,"",false,dacl3328,59bd9d7a-7250-41bf-bbed-e02948990c34,81d07992-5aea-436f-a3d2-5995e8882f05,168bb891-820e-4279-988c-850db517cfba,41817784-cc81-4490-9963-8402f1bbba0f,6569d1fe-04af-46e2-a673-7d8f7a4d39f1,0,0,0,30,0,30,0,0,0,-99,0,-99,30,0,30,-99,0,-99,0,0,0,0,0,0
1959815f-8759-4052-8186-2b3ee5bfc91a,la3rhm2d,2,30,4,38,260,103,39,845,259,74,24,0,"","",false,dc3bsm2d,775467d0-2cb4-4279-8378-3daf9426a6b5,4c73413c-60c2-447f-b441-de49c89a197f,880e4231-3b18-42af-a4c9-46d207bd3f7c,9785db70-20eb-4641-ac38-8c2df0cbaa28,ab372a9f-e3dd-423f-bd42-09875821edbf,10,0,10,10,0,10,0,0,0,-49,0,-49,3,0,3,-39,0,-39,-9,0,-9,-99,0,-99
6a4ba289-42eb-43f5-b7c2-2459dc988660,4osbtoc2,3,660,542,523,507,263,235,715,507,289,452,1,stunning,intimidation,false,dcfolokr,6786c903-d77d-4719-bd93-d85860534572,64f7dba2-1f5c-4a9d-9de8-6ce57a9912ff,c60cdd2b-07ac-46a8-968e-40d1b5235213,63e444aa-83b6-4a4b-899e-e760a7da884e,e193e01e-ec87-4cd3-882c-616e5e4497aa,59,0,59,-55,0,-55,-30,0,-30,6,0,6,10,0,10,-55,0,-55,-28,0,-28,-99,0,-99
34f1b3e3-b73e-42a7-b0e6-162eb14a4ea3,dj3rq0s9,4,580,478,364,333,360,151,813,511,52,370,0,dizzy,strong_poison,false,dcnqk0gj,d34fd172-e2e0-40c1-9a4e-73955825d8b7,3874de3a-97da-490e-b165-b75985f67d70,e1c00135-ee29-4b60-a34f-09f0335d2df7,601a4a56-7920-4873-810b-09a24322a745,b7372123-5965-40bb-97ff-b28a7dd212de,50,0,50,-23,0,-23,0,45,45,-4,0,-4,-9,0,-9,-44,0,-44,-22,0,-22,-44,0,-44
077b03fa-93ce-4965-8448-19d4585c1739,tkn5vvoh,4,410,94,199,337,118,67,785,511,75,95,0,"",intimidation,false,dd64cv09,0dab2b75-5295-45d7-b6c6-a314f4e9ea4c,224f02c9-9d37-45d3-8261-e6fcec8f9719,00ebc9bb-6595-4dc9-b504-50343749692a,24930743-4384-4bab-802e-4ccf4ab84f7f,565c7163-c8ae-42a6-8c32-045df6bd4b53,28,0,28,5,0,5,0,0,0,-99,0,-99,-70,0,-70,-70,0,-70,-6,0,-6,-99,0,-99
90b40e0e-8021-474a-8cb1-75a4607000ae,vhmeamot,3,530,457,98,275,16,15,760,510,98,371,0,stunning,intimidation,true,dd7b3m45,c0435e40-c245-4eb4-8b15-761099de8ae8,fbc5435b-0b8d-4625-b440-acfce8af9824,d6500fe7-71e5-4347-84fc-b5c49b0fa0c2,91032502-0350-444e-b4a3-005242b720aa,02ba0541-34c1-4851-877e-5c562551f143,51,0,51,-42,0,-42,-21,0,-21,-4,0,-4,-2,0,-2,-49,0,-49,-21,0,-21,-99,0,-99
